timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1527357990724,29026,https://k9kec8cpgc.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 2-3,text,true,,557,158,20,100,https://k9kec8cpgc.execute-api.us-east-1.amazonaws.com/dev/ping,,29026,ISO-8859-1,1,0,TFSIELT31848,0,409
1527357995237,25037,https://k9kec8cpgc.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 2-6,text,true,,557,158,19,96,https://k9kec8cpgc.execute-api.us-east-1.amazonaws.com/dev/ping,,25037,ISO-8859-1,1,0,TFSIELT31848,0,384
1527358010238,28265,https://k9kec8cpgc.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 2-16,text,true,,557,158,19,106,https://k9kec8cpgc.execute-api.us-east-1.amazonaws.com/dev/ping,,28265,ISO-8859-1,1,0,TFSIELT31848,0,391
1527358011708,28730,https://k9kec8cpgc.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 2-17,text,true,,557,158,20,117,https://k9kec8cpgc.execute-api.us-east-1.amazonaws.com/dev/ping,,28730,ISO-8859-1,1,0,TFSIELT31848,0,433
1527358013207,28365,https://k9kec8cpgc.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 2-18,text,true,,557,158,19,106,https://k9kec8cpgc.execute-api.us-east-1.amazonaws.com/dev/ping,,28365,ISO-8859-1,1,0,TFSIELT31848,0,384
1527358016208,29098,https://k9kec8cpgc.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 2-20,text,true,,557,158,20,109,https://k9kec8cpgc.execute-api.us-east-1.amazonaws.com/dev/ping,,29098,ISO-8859-1,1,0,TFSIELT31848,0,410
1527358017737,29296,https://k9kec8cpgc.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 2-21,text,true,,557,158,20,102,https://k9kec8cpgc.execute-api.us-east-1.amazonaws.com/dev/ping,,29296,ISO-8859-1,1,0,TFSIELT31848,0,405
1527358071736,16387,https://k9kec8cpgc.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 2-57,text,true,,557,158,19,84,https://k9kec8cpgc.execute-api.us-east-1.amazonaws.com/dev/ping,,16387,ISO-8859-1,1,0,TFSIELT31848,0,382
1527358095737,21125,https://k9kec8cpgc.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 2-73,text,true,,557,158,20,89,https://k9kec8cpgc.execute-api.us-east-1.amazonaws.com/dev/ping,,21125,ISO-8859-1,1,0,TFSIELT31848,0,389
1527358116709,21092,https://k9kec8cpgc.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 2-87,text,true,,557,158,20,86,https://k9kec8cpgc.execute-api.us-east-1.amazonaws.com/dev/ping,,21092,ISO-8859-1,1,0,TFSIELT31848,0,391
1527358137737,21181,https://k9kec8cpgc.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 2-101,text,true,,557,158,20,90,https://k9kec8cpgc.execute-api.us-east-1.amazonaws.com/dev/ping,,21181,ISO-8859-1,1,0,TFSIELT31848,0,408
1527358158708,22944,https://k9kec8cpgc.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 2-115,text,true,,557,158,20,90,https://k9kec8cpgc.execute-api.us-east-1.amazonaws.com/dev/ping,,22944,ISO-8859-1,1,0,TFSIELT31848,0,389
1527358275753,27297,https://k9kec8cpgc.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 2-193,text,true,,557,158,9,18,https://k9kec8cpgc.execute-api.us-east-1.amazonaws.com/dev/ping,,27297,ISO-8859-1,1,0,TFSIELT31848,0,383
1527358286224,28420,https://k9kec8cpgc.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 2-200,text,true,,557,158,1,1,https://k9kec8cpgc.execute-api.us-east-1.amazonaws.com/dev/ping,,28420,ISO-8859-1,1,0,TFSIELT31848,0,378
