timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1527357987729,9678,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-1,text,true,,553,158,7,61,9678,0,1560
1527357989252,14425,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-2,text,true,,553,158,10,66,14425,0,404
1527357990753,14762,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-3,text,true,,553,158,10,69,14761,0,396
1527357992253,15245,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-4,text,true,,553,158,11,79,15245,0,400
1527357998223,10756,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-8,text,true,,553,158,11,83,10756,0,391
1527357993752,15779,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-5,text,true,,553,158,10,79,15779,0,417
1527357995253,15223,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-6,text,true,,553,158,10,88,15223,0,401
1527357996724,15011,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-7,text,true,,553,158,10,85,15011,0,400
1527357999728,14469,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-9,text,true,,553,158,10,89,14469,0,384
1527358001223,14832,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-10,text,true,,553,158,10,90,14832,0,418
1527358002754,15081,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-11,text,true,,553,158,11,96,15081,0,375
1527358008753,10849,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-15,text,true,,553,158,11,103,10849,0,390
1527358004254,18996,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-12,text,true,,553,158,12,101,18996,0,393
1527358005753,18119,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-13,text,true,,553,158,12,103,18119,0,416
1527358007252,22203,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-14,text,true,,553,158,14,108,22203,0,395
1527358019252,10774,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-22,text,true,,553,158,14,113,10774,0,455
1527358010253,20448,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-16,text,true,,553,158,13,105,20448,0,386
1527358011723,20291,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-17,text,true,,553,158,13,112,20291,0,398
1527358014723,18416,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-19,text,true,,553,158,13,117,18416,0,420
1527358022253,11051,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-24,text,true,,553,158,12,114,11051,0,391
1527358013222,21357,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-18,text,true,,553,158,12,116,21357,0,396
1527358016223,18642,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-20,text,true,,553,158,11,112,18642,0,426
1527358020753,14988,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-23,text,true,,553,158,10,105,14988,0,401
1527358017752,18461,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-21,text,true,,553,158,10,112,18461,0,379
1527358029723,10811,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-29,text,true,,553,158,12,116,10811,0,382
1527358026724,14132,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-27,text,true,,553,158,11,113,14132,0,398
1527358028224,12769,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-28,text,true,,553,158,10,111,12769,0,399
1527358023753,19519,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-25,text,true,,553,158,11,109,19519,0,399
1527358025252,19610,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-26,text,true,,553,158,11,109,19610,0,400
1527358031224,18915,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-30,text,true,,553,158,13,106,18915,0,398
1527358040253,11073,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-36,text,true,,553,158,13,108,11073,0,393
1527358032753,19703,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-31,text,true,,553,158,13,104,19703,0,425
1527358034253,19354,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-32,text,true,,553,158,12,98,19354,0,386
1527358037252,18184,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-34,text,true,,553,158,13,106,18184,0,412
1527358041726,14081,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-37,text,true,,553,158,12,102,14081,0,399
1527358035752,20515,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-33,text,true,,553,158,11,96,20515,0,390
1527358038753,21038,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-35,text,true,,553,158,13,95,21038,0,384
1527358043224,19724,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-38,text,true,,553,158,14,100,19724,0,387
1527358052252,10797,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-44,text,true,,553,158,13,99,10797,0,417
1527358046224,17211,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-40,text,true,,553,158,12,94,17211,0,388
1527358044724,19557,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-39,text,true,,553,158,12,92,19557,0,405
1527358047753,17856,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-41,text,true,,553,158,11,91,17856,0,376
1527358049252,19759,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-42,text,true,,553,158,13,97,19759,0,406
1527358053753,19276,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-45,text,true,,553,158,14,85,19276,0,400
1527358062753,10773,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-51,text,true,,553,158,14,92,10773,0,399
1527358050752,23252,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-43,text,true,,553,158,13,87,23252,0,1619
1527358058224,17152,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-48,text,true,,553,158,13,89,17152,0,381
1527358055253,21187,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-46,text,true,,553,158,13,92,21187,0,390
1527358056723,21401,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-47,text,true,,553,158,13,90,21401,0,383
1527358059724,21215,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-49,text,true,,553,158,14,92,21215,0,410
1527358061224,20731,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-50,text,true,,553,158,13,82,20731,0,373
1527358065752,17118,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-53,text,true,,553,158,13,86,17118,0,382
1527358064253,19451,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-52,text,true,,553,158,12,82,19451,0,386
1527358073223,10772,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-58,text,true,,553,158,12,91,10772,0,396
1527358067252,17103,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-54,text,true,,553,158,11,88,17103,0,404
1527358068752,19552,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-55,text,true,,553,158,13,86,19552,0,412
1527358070251,19914,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-56,text,true,,553,158,13,88,19914,0,380
1527358071751,21216,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-57,text,true,,553,158,14,95,21216,0,380
1527358083723,10786,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-65,text,true,,553,158,14,92,10786,0,384
1527358074724,19798,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-59,text,true,,553,158,13,91,19798,0,390
1527358076224,19173,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-60,text,true,,553,158,12,82,19173,0,571
1527358079253,17265,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-62,text,true,,553,158,12,86,17265,0,390
1527358077752,19508,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-61,text,true,,553,158,12,83,19508,0,385
1527358080753,19292,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-63,text,true,,553,158,12,81,19292,0,405
1527358085224,17588,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-66,text,true,,553,158,13,87,17588,0,404
1527358082224,21134,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-64,text,true,,553,158,13,90,21134,0,386
1527358086724,19644,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-67,text,true,,553,158,14,89,19644,0,418
1527358089723,19752,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-69,text,true,,553,158,15,94,19752,0,372
1527358091222,18300,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-70,text,true,,553,158,14,93,18300,0,389
1527358088223,21376,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-68,text,true,,553,158,13,92,21376,0,411
1527358101723,11315,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-77,text,true,,553,158,14,89,11315,0,386
1527358092752,21357,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-71,text,true,,553,158,14,93,21357,0,398
1527358094252,20417,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-72,text,true,,553,158,13,88,20417,0,394
1527358095752,19425,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-73,text,true,,553,158,12,84,19425,0,406
1527358097223,20349,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-74,text,true,,553,158,13,87,20348,0,416
1527358098723,18938,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-75,text,true,,553,158,12,86,18938,0,392
1527358100223,20801,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-76,text,true,,553,158,13,82,20801,0,384
1527358104724,18632,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-79,text,true,,553,158,14,87,18632,0,403
1527358103224,20443,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-78,text,true,,553,158,13,83,20443,0,392
1527358106224,18978,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-80,text,true,,553,158,13,85,18978,0,386
1527358110752,18279,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-83,text,true,,553,158,15,95,18279,0,393
1527358107753,21510,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-81,text,true,,553,158,14,90,21510,0,393
1527358109252,20162,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-82,text,true,,553,158,13,87,20162,0,438
1527358112223,18982,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-84,text,true,,553,158,13,82,18982,0,413
1527358122769,10792,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-91,text,true,,553,158,14,89,10792,0,395
1527358113724,21425,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-85,text,true,,553,158,14,89,21425,0,1469
1527358116724,18979,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-87,text,true,,553,158,13,86,18979,0,388
1527358115224,20678,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-86,text,true,,553,158,12,83,20678,0,412
1527358118224,18411,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-88,text,true,,553,158,12,89,18411,0,402
1527358119724,21291,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-89,text,true,,553,158,14,89,21291,0,461
1527358121224,20581,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-90,text,true,,553,158,13,82,20581,0,395
1527358133240,10774,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-98,text,true,,553,158,14,93,10774,0,427
1527358127240,17889,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-94,text,true,,553,158,13,85,17889,0,403
1527358124269,21110,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-92,text,true,,553,158,13,91,21110,0,397
1527358125769,19858,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-93,text,true,,553,158,12,89,19858,0,387
1527358130240,20342,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-96,text,true,,553,158,14,86,20342,0,420
1527358131740,18922,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-97,text,true,,553,158,13,85,18922,0,378
1527358142240,12050,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-104,text,true,,553,158,15,88,12050,0,397
1527358136240,18120,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-100,text,true,,553,158,14,89,18120,0,591
1527358134740,20538,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-99,text,true,,553,158,13,86,20538,0,402
1527358128741,26957,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-95,text,true,,553,158,12,85,26957,0,380
1527358137769,20788,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-101,text,true,,553,158,13,86,20788,0,386
1527358140768,20274,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-103,text,true,,553,158,14,90,20274,0,413
1527358139268,23065,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-102,text,true,,553,158,14,88,23065,0,415
1527358145239,18405,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-106,text,true,,553,158,14,89,18405,0,426
1527358143739,20475,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-105,text,true,,553,158,13,82,20475,0,393
1527358146739,20597,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-107,text,true,,553,158,14,89,20597,0,390
1527358148240,19258,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-108,text,true,,553,158,13,88,19258,0,392
1527358149740,18534,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-109,text,true,,553,158,13,90,18534,0,382
1527358151240,19165,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-110,text,true,,553,158,13,87,19165,0,383
1527358152739,19210,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-111,text,true,,553,158,13,86,19210,0,397
1527358154252,18831,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-112,text,true,,553,158,13,89,18831,0,444
1527358155740,21306,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-113,text,true,,553,158,15,94,21306,0,408
1527358166240,12273,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-120,text,true,,553,158,15,94,12273,0,396
1527358158739,20164,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-115,text,true,,553,158,14,89,20164,0,409
1527358157239,21675,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-114,text,true,,553,158,13,88,21675,0,391
1527358160239,21141,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-116,text,true,,553,158,14,91,21141,0,1259
1527358163240,19798,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-118,text,true,,553,158,14,88,19798,0,397
1527358161739,21823,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-117,text,true,,553,158,13,82,21823,0,711
1527358164740,20268,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-119,text,true,,553,158,13,84,20268,0,385
1527358167739,18447,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-121,text,true,,553,158,13,90,18447,0,385
1527358169240,18669,https://0qwlklexf2.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 3-122,text,true,,553,158,13,87,18669,0,379
