timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Filename,Latency,Encoding,IdleTime,Connect
1527357989424,8181,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-2,text,true,,307,151,7,58,,8181,utf-8,0,1259
1527357993918,3687,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-5,text,true,,307,151,7,58,,3687,utf-8,0,416
1527357987909,9745,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-1,text,true,,307,151,5,56,,9745,utf-8,0,2785
1527357995424,2231,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-6,text,true,,307,151,5,56,,2231,utf-8,0,429
1527357996898,912,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-7,text,true,,307,151,3,53,,912,utf-8,0,439
1527357990912,6937,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-3,text,true,,307,151,2,52,,6937,utf-8,0,428
1527357998395,531,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-8,text,true,,307,151,2,57,,531,utf-8,0,427
1527357992425,6852,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-4,text,true,,307,151,1,56,,6852,utf-8,0,430
1527357999895,526,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-9,text,true,,307,151,1,61,,526,utf-8,0,420
1527358001411,521,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-10,text,true,,307,151,1,64,,521,utf-8,0,423
1527358002941,603,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-11,text,true,,307,151,1,67,,603,utf-8,0,421
1527358004441,513,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-12,text,true,,307,151,1,72,,513,utf-8,0,416
1527358005941,522,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-13,text,true,,307,151,1,74,,522,utf-8,0,418
1527358007440,519,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-14,text,true,,307,151,1,75,,519,utf-8,0,420
1527358008942,527,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-15,text,true,,307,151,1,80,,527,utf-8,0,430
1527358010441,525,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-16,text,true,,307,151,1,85,,525,utf-8,0,422
1527358011923,521,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-17,text,true,,307,151,1,89,,521,utf-8,0,421
1527358013410,525,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-18,text,true,,307,151,1,92,,525,utf-8,0,427
1527358014910,522,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-19,text,true,,307,151,1,92,,522,utf-8,0,426
1527358016412,518,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-20,text,true,,307,151,1,96,,518,utf-8,0,421
1527358017940,515,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-21,text,true,,307,151,1,97,,515,utf-8,0,418
1527358019440,523,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-22,text,true,,307,151,1,99,,523,utf-8,0,428
1527358020941,575,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-23,text,true,,307,151,1,102,,575,utf-8,0,433
1527358022440,509,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-24,text,true,,307,151,1,104,,509,utf-8,0,413
1527358023951,530,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-25,text,true,,307,151,1,102,,530,utf-8,0,433
1527358025442,518,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-26,text,true,,307,151,1,108,,518,utf-8,0,416
1527358026912,536,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-27,text,true,,307,151,1,111,,536,utf-8,0,425
1527358028417,517,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-28,text,true,,307,151,1,113,,517,utf-8,0,415
1527358029911,519,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-29,text,true,,307,151,1,108,,519,utf-8,0,421
1527358031416,651,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-30,text,true,,307,151,1,111,,651,utf-8,0,414
1527358032941,524,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-31,text,true,,307,151,1,112,,524,utf-8,0,427
1527358034443,519,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-32,text,true,,307,151,1,111,,519,utf-8,0,417
1527358035940,518,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-33,text,true,,307,151,1,109,,518,utf-8,0,421
1527358037440,522,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-34,text,true,,307,151,1,111,,522,utf-8,0,420
1527358038940,534,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-35,text,true,,307,151,1,113,,534,utf-8,0,431
