timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1527357993902,9408,https://calfibonaccirecur.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 10-5,text,true,,322,156,11,69,9408,0,425
1527357995408,7993,https://calfibonaccirecur.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 10-6,text,true,,322,156,10,68,7993,0,430
1527357992409,13666,https://calfibonaccirecur.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 10-4,text,true,,322,156,11,78,13666,0,428
1527357990896,15521,https://calfibonaccirecur.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 10-3,text,true,,322,156,10,75,15521,0,431
1527357989408,23647,https://calfibonaccirecur.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 10-2,text,true,,322,156,13,85,23647,0,442
1527357987887,25455,https://calfibonaccirecur.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 10-1,text,true,,322,156,12,90,25455,0,1621
1527357998379,17715,https://calfibonaccirecur.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 10-8,text,true,,322,156,13,89,17715,0,424
1527357996883,19676,https://calfibonaccirecur.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 10-7,text,true,,322,156,13,99,19676,0,454
1527358008909,12459,https://calfibonaccirecur.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 10-15,text,true,,322,156,15,103,12459,0,435
1527357999879,23176,https://calfibonaccirecur.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 10-9,text,true,,322,156,15,103,23175,0,416
1527358001379,21956,https://calfibonaccirecur.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 10-10,text,true,,322,156,14,100,21956,0,424
1527358007408,18944,https://calfibonaccirecur.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 10-14,text,true,,322,156,15,106,18944,0,420
1527358016379,12915,https://calfibonaccirecur.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 10-20,text,true,,322,156,16,110,12915,0,428
1527358011879,20840,https://calfibonaccirecur.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 10-17,text,true,,322,156,17,110,20840,0,428
1527358004409,28603,https://calfibonaccirecur.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 10-12,text,true,,322,156,17,118,28603,0,435
1527358002909,30331,https://calfibonaccirecur.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 10-11,text,true,,322,156,16,115,30331,0,440
1527358020909,12903,https://calfibonaccirecur.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 10-23,text,true,,322,156,15,108,12903,0,422
1527358010409,26007,https://calfibonaccirecur.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 10-16,text,true,,322,156,16,110,26007,0,423
1527358025411,12004,https://calfibonaccirecur.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 10-26,text,true,,322,156,16,113,12004,0,430
1527358019408,21633,https://calfibonaccirecur.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 10-22,text,true,,322,156,17,110,21633,0,440
